atom_num_X,atom_num_Y,atom_num_Z,d_val_X,d_val_Y,d_val_Z,num_valence,tot_mag
24,24,49,5.0,5.0,0.0,21.0,-2.814
24,23,31,5.0,4.0,0.0,20.0,-2.633
22,26,50,3.0,7.0,0.0,20.0,-2.047
21,28,5,2.0,9.0,0.0,19.0,-0.015
24,21,5,5.0,2.0,0.0,18.0,-0.036
25,27,32,5.0,7.0,10.0,27.0,2.976
26,28,82,7.0,9.0,0.0,30.0,5.358
21,21,14,2.0,2.0,0.0,13.0,-0.885
22,21,32,3.0,2.0,0.0,15.0,-1.636
28,30,31,9.0,10.0,0.0,35.0,0.0
23,28,51,4.0,9.0,0.0,25.0,0.75
25,24,32,5.0,5.0,10.0,24.0,0.058
25,28,31,5.0,8.0,10.0,27.0,2.212
25,26,31,5.0,6.0,10.0,25.0,1.008
25,28,83,5.0,8.0,10.0,29.0,7.388
22,24,32,3.0,5.0,0.0,18.0,-0.003
21,27,14,2.0,8.0,0.0,19.0,-0.921
28,21,31,9.0,2.0,0.0,26.0,0.0
26,24,13,7.0,5.0,0.0,25.0,0.961
28,28,50,9.0,9.0,0.0,34.0,0.001
25,21,33,5.0,1.0,10.0,22.0,-1.963
25,29,13,5.0,10.0,0.0,28.0,5.493
24,27,31,5.0,8.0,0.0,24.0,0.116
21,29,82,2.0,10.0,0.0,21.0,-0.458
21,27,51,2.0,8.0,0.0,20.0,-0.602
25,29,33,5.0,10.0,10.0,30.0,3.839
23,26,13,4.0,7.0,0.0,21.0,-2.663
27,21,50,7.0,1.0,10.0,25.0,1.127
25,24,33,5.0,5.0,10.0,25.0,0.984
25,30,32,5.0,10.0,10.0,30.0,3.782
28,24,33,9.0,5.0,0.0,31.0,1.952
25,30,14,5.0,10.0,0.0,30.0,3.498
23,30,49,4.0,10.0,0.0,25.0,0.004
23,28,32,4.0,9.0,0.0,24.0,0.67
25,23,14,5.0,3.0,0.0,23.0,-0.965
21,28,32,2.0,9.0,0.0,20.0,-0.001
26,23,31,7.0,4.0,0.0,24.0,0.0
24,25,14,5.0,6.0,0.0,23.0,-1.057
22,27,51,3.0,8.0,0.0,22.0,-2.022
24,21,83,5.0,2.0,0.0,20.0,-0.668
22,21,14,3.0,2.0,0.0,15.0,-1.787
21,21,50,2.0,2.0,0.0,13.0,-1.188
25,29,5,5.0,10.0,0.0,28.0,4.889
26,25,13,7.0,6.0,0.0,26.0,2.041
21,28,82,2.0,9.0,0.0,20.0,0.0
21,30,5,2.0,10.0,0.0,21.0,-0.002
24,29,83,5.0,10.0,0.0,28.0,0.173
28,23,50,9.0,4.0,0.0,29.0,0.667
28,29,31,9.0,10.0,0.0,34.0,0.001
26,25,32,7.0,6.0,0.0,27.0,2.986
27,21,83,7.0,1.0,10.0,26.0,2.105
21,29,13,2.0,10.0,0.0,20.0,0.0
22,26,5,3.0,7.0,0.0,19.0,-0.982
27,24,49,7.0,5.0,10.0,27.0,3.102
21,25,50,2.0,6.0,0.0,17.0,-2.752
26,29,5,7.0,10.0,0.0,30.0,3.428
25,27,49,5.0,7.0,10.0,26.0,7.993
24,24,14,5.0,5.0,0.0,22.0,-1.572
22,23,50,3.0,4.0,0.0,17.0,-0.016
23,26,5,4.0,7.0,0.0,21.0,-2.198
24,28,49,5.0,9.0,0.0,25.0,0.679
21,25,49,2.0,6.0,0.0,16.0,-2.74
24,27,50,5.0,8.0,0.0,25.0,1.023
28,28,49,9.0,9.0,0.0,33.0,0.0
23,30,51,4.0,10.0,0.0,27.0,3.621
25,23,49,5.0,3.0,10.0,22.0,-4.187
26,26,32,7.0,7.0,0.0,28.0,5.412
28,30,33,9.0,10.0,0.0,37.0,0.0
21,26,49,2.0,7.0,0.0,17.0,-1.189
28,21,51,9.0,2.0,0.0,28.0,0.0
28,27,31,9.0,8.0,0.0,32.0,1.708
23,30,13,4.0,10.0,0.0,25.0,0.248
26,27,49,7.0,8.0,0.0,28.0,6.115
25,24,5,5.0,5.0,0.0,23.0,-1.015
26,23,32,7.0,4.0,0.0,25.0,0.905
25,21,32,5.0,1.0,10.0,21.0,-2.949
28,28,83,9.0,9.0,0.0,35.0,0.0
27,24,31,7.0,5.0,10.0,27.0,3.009
22,25,13,3.0,6.0,0.0,18.0,-0.056
22,21,5,3.0,2.0,0.0,14.0,-2.24
23,30,82,4.0,10.0,0.0,26.0,3.403
26,29,82,7.0,10.0,0.0,31.0,5.004
21,25,32,2.0,6.0,0.0,17.0,-2.572
22,28,33,3.0,9.0,0.0,23.0,-0.035
26,21,32,7.0,2.0,0.0,23.0,-0.934
