atom_num_X,atom_num_Y,atom_num_Z,d_val_X,d_val_Y,d_val_Z,num_valence,tot_mag
24,26,14,5.0,7.0,0.0,24.0,0.141
24,25,49,5.0,6.0,0.0,22.0,-3.447
28,21,50,9.0,2.0,0.0,27.0,0.001
24,21,51,5.0,2.0,0.0,20.0,-3.765
23,28,49,4.0,9.0,0.0,23.0,-0.904
26,27,50,7.0,8.0,0.0,29.0,5.555
21,25,82,2.0,6.0,0.0,17.0,-2.762
28,28,32,9.0,9.0,0.0,34.0,0.001
25,28,50,5.0,8.0,10.0,28.0,3.923
24,24,5,5.0,5.0,0.0,21.0,-0.084
28,28,14,9.0,9.0,0.0,34.0,0.0
22,30,32,3.0,10.0,0.0,24.0,0.029
22,29,5,3.0,10.0,0.0,22.0,0.0
22,29,50,3.0,10.0,0.0,23.0,-0.092
26,29,31,7.0,10.0,0.0,30.0,4.399
22,28,50,3.0,9.0,0.0,22.0,-0.646
28,30,83,9.0,10.0,0.0,37.0,0.002
24,30,83,5.0,10.0,0.0,29.0,0.044
26,28,33,7.0,9.0,0.0,31.0,5.317
22,29,82,3.0,10.0,0.0,23.0,-0.558
23,29,49,4.0,10.0,0.0,24.0,0.013
23,24,33,4.0,5.0,0.0,21.0,-1.563
25,25,33,5.0,5.0,10.0,26.0,1.934
24,23,32,5.0,4.0,0.0,21.0,-2.795
27,23,49,7.0,3.0,10.0,26.0,2.043
28,27,49,9.0,8.0,0.0,32.0,1.95
26,29,13,7.0,10.0,0.0,30.0,4.299
24,30,13,5.0,10.0,0.0,27.0,0.626
28,23,14,9.0,4.0,0.0,29.0,0.005
24,28,32,5.0,9.0,0.0,26.0,1.856
26,23,50,7.0,4.0,0.0,25.0,0.964
26,28,49,7.0,9.0,0.0,29.0,5.202
21,21,32,2.0,2.0,0.0,13.0,-1.135
22,24,5,3.0,5.0,0.0,17.0,0.0
25,26,32,5.0,6.0,10.0,26.0,1.989
22,30,13,3.0,10.0,0.0,23.0,-0.009
22,26,33,3.0,7.0,0.0,21.0,-1.925
22,25,32,3.0,6.0,0.0,19.0,-0.759
25,27,82,5.0,7.0,10.0,27.0,8.431
21,26,14,2.0,7.0,0.0,18.0,-1.275
28,25,31,9.0,6.0,0.0,30.0,4.034
24,29,14,5.0,10.0,0.0,27.0,0.749
21,29,51,2.0,10.0,0.0,22.0,-0.156
25,25,31,5.0,5.0,10.0,24.0,0.002
21,23,31,2.0,4.0,0.0,14.0,-2.547
24,29,5,5.0,10.0,0.0,26.0,0.951
21,24,83,2.0,5.0,0.0,17.0,-2.931
27,23,14,7.0,3.0,0.0,27.0,2.736
24,28,14,5.0,9.0,0.0,26.0,1.821
26,25,83,7.0,6.0,0.0,28.0,6.125
26,21,31,7.0,2.0,0.0,22.0,-4.238
22,25,33,3.0,6.0,0.0,20.0,-0.573
