id,formula,X,Y,Z,struct,dE,form_en,lat,ahc,Tc,efermi,polarization,magX1,magX2,magY,magZ,magsum,ne,negativityX,negativityY,negativityZ,numX,numY,numZ,radiusX,radiusY,radiusZ,rXY,rYZ,rXZ,weightX,weightY,weightZ,densityX,densityY,densityZ,dipoleX,dipoleY,dipoleZ,latX,latY,latZ,structX,structY,structZ,periodX,periodY,periodZ,groupX,groupY,groupZ
2311,Sc2TiAs,Sc,Ti,As,l21,0.356657,-0.25475475,6.734971473,34.8693,208.502,5.9636,0.447101,0.242,0.242,1.455,-0.036,1.903,15,1.36,1.54,2.18,21,22,33,160,140,115,1.142857,1.217391,1.391304,44.955908,47.867,74.921595,2.99,4.506,5.75,97,100,30,3.31,2.95,4.13,HEX,HEX,RHL,4,4,4,3,4,15
2156,Sc2CrAl,Sc,Cr,Al,l21,0.22297,-0.0916555,6.749901326,34.5701,378.002,5.7664,0.518192,-0.074,-0.074,3.261,-0.037,3.076,15,1.36,1.66,1.61,21,24,13,160,140,125,1.142857,1.12,1.28,44.955908,51.9961,26.981538,2.99,7.15,2.7,97,83,57.8,3.31,2.88,4.05,HEX,BCC,FCC,4,4,3,3,6,13
1918,Ru2FeGa,Ru,Fe,Ga,l21,0.968606,-0.1404005,5.980444697,34.2303,0,9.5974,0.657098,0.178,0.178,2.755,0.017,3.128,27,2.2,1.83,1.81,44,26,31,130,140,130,0.928571,1.076923,1,101.07,55.845,69.723,12.1,7.87,5.91,72,62,50,2.7,2.87,4.51,HEX,BCC,ORC,5,4,4,8,8,13
1000,Mn2TiSi,Mn,Ti,Si,l21,1.219406,-0.58824875,5.771496058,34.1268,285.002,9.8327,0.946917,1.173,1.173,-0.351,-0.038,1.957,22,1.55,1.54,1.9,25,22,14,140,140,110,1,1.272727,1.272727,54.938044,47.867,28.085,7.3,4.506,2.3296,68,100,37.3,8.89,2.95,5.43,CUB,HEX,DIA,4,4,3,7,4,14
1162,Ni2MnIn,Ni,Mn,In,l21,0.615205,-0.14300025,6.040058042,33.7681,150.002,7.8047,0.198572,0.34,0.34,3.551,-0.102,4.129,30,1.91,1.55,1.78,28,25,49,135,140,155,0.964286,0.903226,0.870968,58.6934,54.938044,114.818,8.9,7.3,7.31,49,68,65,3.52,8.89,4.59,FCC,CUB,TET,4,4,5,10,7,13
2322,Sc2VAs,Sc,V,As,l21,0.330996,-0.2073385,6.623136879,33.6734,373.502,5.9864,0.358345,-0.051,-0.051,1.952,-0.028,1.822,16,1.36,1.63,2.18,21,23,33,160,135,115,1.185185,1.173913,1.391304,44.955908,50.9415,74.921595,2.99,6,5.75,97,87,30,3.31,3.02,4.13,HEX,BCC,RHL,4,4,4,3,5,15
2145,Sc2CoAl,Sc,Co,Al,l21,0.280784,-0.34545925,6.530661454,33.4445,0,5.8524,0.060547,-0.073,-0.073,0.501,0.008,0.363,18,1.36,1.88,1.61,21,27,13,160,135,125,1.185185,1.08,1.28,44.955908,58.933194,26.981538,2.99,8.86,2.7,97,55,57.8,3.31,2.51,4.05,HEX,HEX,FCC,4,4,3,3,9,13
2068,Ru2WAl,Ru,W,Al,l21,1.844989,-0.30608725,6.125668874,33.2785,0,12.1567,0.202755,0.067,0.067,0.013,-0.001,0.146,25,2.2,1.7,1.61,44,74,13,130,135,125,0.962963,1.08,1.04,101.07,183.84,26.981538,12.1,19.3,2.7,72,68,57.8,2.7,3.16,4.05,HEX,BCC,FCC,5,6,3,8,6,13
2149,Sc2CoGa,Sc,Co,Ga,l21,0.509067,-0.445915,6.493225807,32.3792,0,5.0214,0.055669,-0.07,-0.07,0.533,0.014,0.407,18,1.36,1.88,1.81,21,27,31,160,135,130,1.185185,1.038462,1.230769,44.955908,58.933194,69.723,2.99,8.86,5.91,97,55,50,3.31,2.51,4.51,HEX,HEX,ORC,4,4,4,3,9,13
132,Co2NbSn,Co,Nb,Sn,l21,1.283476,-0.106551,6.171507778,31.8038,130.502,8.361,0.654852,0.878,0.878,0.026,0.008,1.79,27,1.88,1.6,1.96,27,41,50,135,145,145,0.931034,1,0.931034,58.933194,92.90637,118.71,8.86,8.57,7.287,55,98,53,2.51,3.3,5.82,HEX,BCC,TET,4,5,5,9,5,14
2147,Sc2CoB,Sc,Co,B,l21,0.810781,-0.12099225,6.109804226,31.702,0,5.9168,0.083053,-0.034,-0.034,0.28,0.024,0.236,18,1.36,1.88,2.04,21,27,5,160,135,85,1.185185,1.588235,1.882353,44.955908,58.933194,10.81,2.99,8.86,2.34,97,55,20.5,3.31,2.51,8.73,HEX,HEX,TET,4,4,2,3,9,13
2513,Ti2NiGe,Ti,Ni,Ge,l21,0.83797,-0.3995925,6.164049216,31.172,0,7.064,0.062454,0.24,0.24,0.205,0.001,0.686,22,1.54,1.91,2.01,22,28,32,140,135,125,1.037037,1.08,1.12,47.867,58.6934,72.63,4.506,8.9,5.3234,100,49,40,2.95,3.52,5.66,HEX,FCC,DIA,4,4,4,4,10,14
1056,Mn2ZrSn,Mn,Zr,Sn,l21,1.024001,-0.1559365,6.313090355,30.8313,313.502,9.6083,0.997909,1.198,1.198,-0.293,-0.079,2.024,22,1.55,1.33,1.96,25,40,50,140,155,145,0.903226,1.068966,0.965517,54.938044,91.224,118.71,7.3,6.52,7.287,68,112,53,8.89,3.23,5.82,CUB,HEX,TET,4,5,5,7,4,14
2131,Sc2AuSb,Sc,Au,Sb,l21,1.99459,-0.685416,7.000696545,30.7523,0,7.3907,0.355521,0.333,0.333,0.03,-0.006,0.69,12,1.36,2.4,2.05,21,79,51,160,135,145,1.185185,0.931034,1.103448,44.955908,196.966569,121.76,2.99,19.3,6.68,97,36,43,3.31,4.08,4.51,HEX,FCC,RHL,4,6,5,3,11,15
931,Mn2NiIn,Mn,Ni,In,xa,-0.406838,-0.0173475,6.139733228,30.7105,636.002,7.9338,0.064058,3.473,-3.132,0.148,-0.015,0.474,27,1.55,1.91,1.78,25,28,49,140,135,155,1.037037,0.870968,0.903226,54.938044,58.6934,114.818,7.3,8.9,7.31,68,49,65,8.89,3.52,4.59,CUB,FCC,TET,4,4,5,7,10,13
2315,Sc2TiGe,Sc,Ti,Ge,l21,0.366466,-0.2538815,6.765955478,30.4867,0,5.3153,0.168661,0.354,0.354,1.626,-0.054,2.28,14,1.36,1.54,2.01,21,22,32,160,140,125,1.142857,1.12,1.28,44.955908,47.867,72.63,2.99,4.506,5.3234,97,100,40,3.31,2.95,5.66,HEX,HEX,DIA,4,4,4,3,4,14
2624,Ti2ZnIn,Ti,Zn,In,l21,0.76127,-0.08427475,6.550508527,30.4515,0,5.749,0.159506,0.155,0.155,-0.001,-0.001,0.308,13,1.54,1.65,1.78,22,30,49,140,135,155,1.037037,0.870968,0.903226,47.867,65.38,114.818,4.506,7.134,7.31,100,38.67,65,2.95,2.66,4.59,HEX,HEX,TET,4,4,5,4,12,13
1354,Pd2CoAs,Pd,Co,As,xa,-0.086816,-0.00761325,6.137382805,30.2772,246.002,9.1749,0.699139,0.093,0.06,1.58,0,1.733,34,2.2,1.88,2.18,46,27,33,140,135,115,1.037037,1.173913,1.217391,106.42,58.933194,74.921595,12,8.86,5.75,26.14,55,30,3.89,2.51,4.13,FCC,HEX,RHL,5,4,4,10,9,15
