,quality,subgroup,size_sg,size_dataset,mean_sg,mean_dataset,std_sg,std_dataset,median_sg,median_dataset,max_sg,max_dataset,min_sg,min_dataset,mean_lift,median_lift
0,14735.70075084937,X=='Sc',108,883,-110.38969444444446,-246.83136806342014,177.88446234932778,339.59317349000537,0.0,-130.502,0.0,0.0,-871.502,-2880.01,0.44722717096508274,-0.0
1,14208.799903737252,X=='Ti',122,883,-130.3657950819672,-246.83136806342014,242.9880266547989,339.59317349000537,-81.0015,-130.502,0.0,0.0,-1485.0,-2880.01,0.5281573249979775,0.620691636909779
2,13715.73791109849,magsum: [1.05:1.85[,175,883,-168.45572285714286,-246.83136806342014,198.0389805914815,339.59317349000537,-121.502,-130.502,0.0,0.0,-1138.5,-2880.01,0.682472913304359,0.9310355396852155
3,11304.209945639846,ne<19,152,883,-172.46156578947367,-246.83136806342014,246.33608433573852,339.59317349000537,-69.7515,-130.502,0.0,0.0,-1117.5,-2880.01,0.698701980799952,0.5344860615162985
4,10631.743625707808,X=='Sc' AND ne<19,90,883,-128.70088333333337,-246.83136806342014,189.0597557147247,339.59317349000537,0.0,-130.502,0.0,0.0,-871.502,-2880.01,0.5214121865591465,-0.0
5,9730.577785390706,X=='Rh',85,883,-132.3539823529412,-246.83136806342014,181.15923896712994,339.59317349000537,-63.0015,-130.502,0.0,0.0,-1135.5,-2880.01,0.5362121653797849,0.4827627162802102
6,9682.748722536806,X=='Sc' AND magsum<0.65,40,883,-4.76265,-246.83136806342014,14.958699900141722,339.59317349000537,0.0,-130.502,0.0,0.0,-63.0015,-2880.01,0.019295157002801596,-0.0
7,9646.620779161934,magsum<0.65,176,883,-192.02102272727276,-246.83136806342014,412.098122320862,339.59317349000537,0.0,-130.502,0.0,0.0,-2442.01,-2880.01,0.7779441658239136,-0.0
8,8925.454632502828,Z=='Sb',71,883,-121.12073943661971,-246.83136806342014,163.26779852938796,339.59317349000537,-78.0015,-130.502,0.0,0.0,-924.002,-2880.01,0.49070237865998984,0.5977034834715176
9,8898.227021517545,Z=='As',87,883,-144.55289655172416,-246.83136806342014,205.48879778349607,339.59317349000537,-84.0015,-130.502,0.0,0.0,-1138.5,-2880.01,0.5856342234208383,0.6436797903480406
