id,formula,X,Y,Z,energy,formation,lat,spacegroup,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
410779,Y2SnPt,Y,Pt,Sn,-6.608,-0.884,7.267169769429857,Fm-3m,0.0,0.0,0.0,0.0,0.0
411032,Y2ZnPt,Y,Pt,Zn,-5.857,-0.794,7.056629078206999,Fm-3m,0.0,0.0,0.0,0.0,0.0
409287,Y2AlRh,Y,Rh,Al,-6.552,-0.566,7.060054730774904,Fm-3m,0.0,0.0,0.0,0.0,0.0
411420,Y2AsRh,Y,Rh,As,-7.092,-0.879,6.9922090189510735,Fm-3m,0.0,0.0,0.0,0.0,0.0
409935,Y2BRh,Y,Rh,B,-6.904,-0.185,6.7338452267976265,Fm-3m,0.0,0.0,0.0,0.0,0.0
411153,Y2BiRh,Y,Rh,Bi,-6.668,-0.609,7.303444924380933,Fm-3m,0.0,0.0,0.0,0.0,0.0
411191,Y2GaRh,Y,Rh,Ga,-6.49,-0.682,7.034065246313987,Fm-3m,0.0,0.0,0.0,0.0,0.0
411196,Y2GeRh,Y,Rh,Ge,-6.94,-0.735,7.026187621893882,Fm-3m,0.0,0.0,0.0,0.0,0.0
411021,Y2InRh,Y,Rh,In,-6.305,-0.575,7.189181282806144,Fm-3m,0.0,0.0,0.0,0.0,0.0
411530,Y2MgRh,Y,Rh,Mg,-5.837,-0.402,7.131972450282144,Fm-3m,0.0,0.0,0.0,0.0,0.0
409937,Y2RhPb,Y,Rh,Pb,-6.51,-0.535,7.258474434514607,Fm-3m,0.0,0.0,0.0,0.0,0.0
409651,Y2SbRh,Y,Rh,Sb,-6.82,-0.741,7.213144711974208,Fm-3m,0.0,0.0,0.0,0.0,0.0
411747,Y2SiRh,Y,Rh,Si,-7.07,-0.665,6.971750090749814,Fm-3m,0.0,0.0,0.0,0.0,0.0
409855,Y2SnRh,Y,Rh,Sn,-6.719,-0.691,7.208836886277305,Fm-3m,0.0,0.0,0.0,0.0,0.0
410399,Y2ZnRh,Y,Rh,Zn,-5.96,-0.593,6.991117986443825,Fm-3m,0.0,0.0,0.0,0.0,0.0
409756,Y2AsRu,Y,Ru,As,-7.268,-0.573,6.9708721609647455,Fm-3m,0.0,0.0,0.0,0.001,0.0
410487,Y2BRu,Y,Ru,B,-7.128,0.074,6.701581270792738,Fm-3m,0.0,0.0,0.0,0.0,0.0
410041,Y2BiRu,Y,Ru,Bi,-6.861,-0.319,7.275844345657564,Fm-3m,0.0,0.0,0.0,0.0,0.0
409725,Y2GaRu,Y,Ru,Ga,-6.736,-0.445,6.986859702401774,Fm-3m,0.0,0.0,0.0,0.0,0.0
410021,Y2GeRu,Y,Ru,Ge,-7.165,-0.476,6.980845593951646,Fm-3m,0.0,0.0,0.0,0.0,0.0
411686,Y2InRu,Y,Ru,In,-6.556,-0.343,7.166199596986792,Fm-3m,0.0,0.0,0.0,0.0,0.0
410986,Y2RuPb,Y,Ru,Pb,-6.738,-0.279,7.232160658973026,Fm-3m,0.0,0.0,0.0,0.0,0.0
410915,Y2SbRu,Y,Ru,Sb,-7.018,-0.456,7.178226401669341,Fm-3m,0.028,-0.001,-0.001,0.034,0.003
410479,Y2SiRu,Y,Ru,Si,-7.304,-0.415,6.93834286217966,Fm-3m,0.0,0.0,0.0,0.0,0.0
410710,Y2SnRu,Y,Ru,Sn,-6.955,-0.444,7.172943722322802,Fm-3m,0.0,0.0,0.0,0.0,0.0
736840,AlZn2Ag,Zn,Ag,Al,-2.188,0.087,6.363200266961216,F-43m,0.0,0.0,0.0,0.0,0.0
736844,Zn2AgAs,Zn,Ag,As,-2.35,0.151,6.5383921206364395,F-43m,0.0,0.0,0.0,0.0,0.0
482118,Zn2AgB,Zn,Ag,B,-2.27,0.738,6.07563514051237,Fm-3m,0.0,0.0,0.0,0.0,0.0
736849,Zn2AgBi,Zn,Ag,Bi,-2.15,0.198,6.941664869228537,F-43m,0.0,0.0,0.0,0.0,0.0
736842,Zn2GaAg,Zn,Ag,Ga,-2.014,0.082,6.454226743022957,F-43m,0.0,0.0,0.0,0.0,0.0
484068,Zn2AgGe,Zn,Ag,Ge,-2.319,0.176,6.453842631450128,Fm-3m,0.0,0.0,0.0,0.0,0.0
482259,MgZn2Ag,Zn,Ag,Mg,-1.788,-0.064,6.365833551735699,Fm-3m,0.0,0.0,0.0,0.0,0.0
736848,Zn2AgPb,Zn,Ag,Pb,-2.06,0.205,6.910646590007137,F-43m,0.0,0.0,0.0,0.0,0.0
736847,Zn2AgSb,Zn,Ag,Sb,-2.194,0.174,6.8146167705988985,F-43m,0.0,0.0,0.0,0.0,0.0
