id,formula,X,Y,Z,energy,formation,volume,spacegroup,band_gap,tot_mag,X1_mag,X2_mag,Y_mag,Z_mag
744266,Ti2SiIr,Ti,Ir,Si,-8.074,-0.655,14.584,F-43m,0.0,0.678,0.788,1.756,0.111,-0.012
744272,Ti2SnIr,Ti,Ir,Sn,-7.531,-0.49,16.812,F-43m,0.0,0.723,0.851,1.801,0.106,0.011
562118,Ti2ZnIr,Ti,Ir,Zn,-6.902,-0.523,15.23,Fm-3m,0.0,,0.0,0.0,0.0,0.0
563421,LiTi2Al,Ti,Li,Al,-5.335,-0.075,15.822,Fm-3m,0.0,,0.0,0.0,0.0,0.0
561530,LiTi2As,Ti,Li,As,-5.799,-0.313,14.802,Fm-3m,0.0,,0.0,0.0,0.0,0.0
561593,LiTi2B,Ti,Li,B,-5.997,-0.005,12.058,Fm-3m,0.0,,0.0,0.0,0.0,0.0
716641,LiTi2Bi,Ti,Li,Bi,-5.253,0.079,19.1,F-43m,0.0,0.907,1.693,1.526,0.014,-0.047
561739,LiTi2Ga,Ti,Li,Ga,-5.255,-0.174,15.325,Fm-3m,0.0,,0.0,0.0,0.0,0.0
562155,LiTi2Ge,Ti,Li,Ge,-5.76,-0.281,15.074,Fm-3m,0.0,,0.0,0.0,0.0,0.0
734438,LiTi2In,Ti,Li,In,-4.993,0.01,18.093,F-43m,0.0,0.956,1.861,1.669,0.005,-0.043
734362,LiMgTi2,Ti,Li,Mg,-4.399,0.31,18.353,F-43m,0.0,0.802,1.492,1.5,-0.014,-0.014
734441,LiTi2Pb,Ti,Li,Pb,-5.163,0.086,18.844,F-43m,0.0,0.928,1.811,1.559,0.009,-0.052
562219,LiTi2Sb,Ti,Li,Sb,-5.518,-0.165,17.2,Fm-3m,0.0,,0.0,0.0,0.0,0.0
563386,LiTi2Si,Ti,Li,Si,-6.002,-0.322,14.497,Fm-3m,0.0,,0.0,0.0,0.0,0.0
561584,LiTi2Sn,Ti,Li,Sn,-5.451,-0.149,17.46,Fm-3m,0.0,,0.0,0.0,0.0,0.0
562486,LiTi2Zn,Ti,Li,Zn,-4.564,0.076,15.274,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
563046,MgTi2Al,Ti,Mg,Al,-5.258,-0.087,17.159,Fm-3m,0.0,,0.0,0.0,0.0,0.0
562165,MgTi2As,Ti,Mg,As,-5.492,-0.094,16.827,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
561393,MgTi2B,Ti,Mg,B,-5.599,0.306,13.884,Fm-3m,0.0,,0.0,0.0,0.0,0.0
562743,MgTi2Bi,Ti,Mg,Bi,-5.084,0.16,19.928,Fm-3m,0.0,0.013,0.016,0.016,0.0,-0.001
563359,MgTi2Ga,Ti,Mg,Ga,-5.115,-0.122,16.813,Fm-3m,0.0,,0.0,0.0,0.0,0.0
561045,MgTi2Ge,Ti,Mg,Ge,-5.502,-0.112,16.58,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
561117,MgTi2Pb,Ti,Mg,Pb,-5.003,0.158,19.28,Fm-3m,0.0,0.002,0.003,0.003,0.0,0.0
562680,MgTi2Sb,Ti,Mg,Sb,-5.306,-0.042,18.779,Fm-3m,0.0,0.001,0.0,0.0,0.0,0.0
561092,MgTi2Si,Ti,Mg,Si,-5.737,-0.147,15.941,Fm-3m,0.0,,0.0,0.0,0.0,0.0
562974,MgTi2Sn,Ti,Mg,Sn,-5.298,-0.085,18.572,Fm-3m,0.0,0.0,0.0,0.0,0.0,0.0
562859,MgTi2Zn,Ti,Mg,Zn,-4.518,0.033,16.777,Fm-3m,0.0,,0.0,0.0,0.0,0.0
561691,Ti2MnAl,Ti,Mn,Al,-7.36,-0.318,14.388,Fm-3m,0.0,,0.0,0.0,0.0,0.0
561523,Ti2MnAs,Ti,Mn,As,-7.631,-0.362,14.568,Fm-3m,0.0,0.098,-0.808,-0.808,1.953,0.051
563037,Ti2MnB,Ti,Mn,B,-7.956,-0.18,12.019,Fm-3m,0.0,0.0,-0.001,-0.001,0.002,0.0
716629,Ti2MnBi,Ti,Mn,Bi,-6.984,0.131,16.466,F-43m,0.0,0.499,0.715,1.526,-0.321,0.002
561150,Ti2MnGa,Ti,Mn,Ga,-7.22,-0.356,14.341,Fm-3m,0.0,0.002,-0.004,-0.004,0.02,0.0
