pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
MnAlCo2,Co,Mn,Al,-28.60101206,-7.150253015,46.318087977732745,-0.36919633698275867,225,0.0,7.162480763044559,4.0057951
MnCo2Si,Co,Mn,Si,-30.62263634,-7.655659085,44.6001704479838,-0.43691785948275896,225,0.0,7.479468840669301,5.0027806
MnGaCo2,Co,Mn,Ga,-27.37773368,-6.84443342,46.92899457392006,-0.24274669385775915,225,0.0,8.581608964697487,4.059614
MnCo2Ge,Co,Mn,Ge,-29.05043115,-7.2626077875,47.379756999983336,-0.2621881032327593,225,0.0,8.602198466260763,4.9880416
MnCo2Sn,Co,Mn,Sn,-27.87148401,-6.9678710025,53.755749190280646,-0.1208153182327587,225,0.0,9.005010907425865,5.0025144
MnCo2Sb,Co,Mn,Sb,-27.8947166,-6.97367915,54.62953264414145,-0.14476611948275853,225,0.0,8.953687287326847,5.9920574
AlFeCo2,Co,Fe,Al,-27.91761698,-6.979404245,46.39212825545415,-0.37134927750000024,225,0.0,7.183512825615721,4.978493
FeCo2Si,Co,Fe,Si,-29.56145631,-7.3903640775,44.476975772627036,-0.34462456249999995,225,0.0,7.53404685328475,5.4594807
GaFeCo2,Co,Fe,Ga,-26.67897993,-6.6697449825,46.50631822113434,-0.24105996687500042,225,0.0,8.691987029092338,4.9966913
FeCo2Ge,Co,Fe,Ge,-27.98500754,-6.996251885,47.00148682894171,-0.16883391125000102,225,0.0,8.703471630482957,5.6735775
InFeCo2,Co,Fe,In,-25.17969291,-6.2949232275,53.62847133081199,0.0646587150000002,225,0.0,8.933954522063628,5.0294974
ZnCo3,Co,Co,Zn,-22.39841078,-5.599602695,46.03698729977973,0.04657155375000066,225,0.0,8.736384399774375,4.2636866
AlCo2Ni,Co,Ni,Al,-24.66630573,-6.1665764325,45.44864001298096,-0.23098940750000008,225,0.0,7.436709386935059,2.472558
GaCo2Ni,Co,Ni,Ga,-23.47978066,-5.869945165,45.874773479731985,-0.11372809187499922,225,0.0,8.914751250094522,2.5604715
LiCo2Si,Co,Li,Si,-23.23181956,-5.80795489,41.095673578001374,-0.40248677083333284,225,0.0,6.177891606241528,0.0119885
LiCo2Ge,Co,Li,Ge,-21.64612386,-5.411530965,44.155436869071934,-0.22438438708333308,225,0.0,7.425339390603052,0.0063444
MgCo2Si,Co,Mg,Si,-22.51641823,-5.6291045575,46.54406448623434,-0.30079714249999956,225,0.0,6.074205601155316,0.0096523
MnAlNi2,Ni,Mn,Al,-26.08534213,-6.5213355325,48.348088548374044,-0.404369411982759,225,0.0,6.845276537860061,3.9444221
MnSiNi2,Ni,Mn,Si,-27.6014048,-6.9003512,45.937673910603934,-0.3457005319827591,225,0.0,7.244363479763941,3.7356053
MnGaNi2,Ni,Mn,Ga,-24.90899026,-6.227247565,48.40404194491519,-0.28965139635775916,225,0.0,8.303643383051481,3.9210095
MnNi2Ge,Ni,Mn,Ge,-26.23996328,-6.55999082,48.760391579252385,-0.22366169323275908,225,0.0,8.342297547077049,3.8746726
MnInNi2,Ni,Mn,In,-23.82347224,-5.95586806,55.354034271241005,-0.08737496448275905,225,0.0,8.613860183717348,4.1250437
MnNi2Sn,Ni,Mn,Sn,-25.41621392,-6.35405348,55.34783092067433,-0.17108835323275873,225,0.0,8.731592942766177,4.0110981
MnNi2Sb,Ni,Mn,Sb,-25.32692179,-6.3317304475,55.4491187603648,-0.16690797448275863,225,0.0,8.806981696642797,3.9561707
MnNi2Sb,Ni,Mn,Sb,-24.86541822,-6.216354555,54.96817119120643,-0.05153208198275827,216,0.0,8.88403895262988,3.2774947
MnZnNi2,Ni,Mn,Zn,-22.66434091,-5.6660852275,48.243824397949204,-0.1705771619827594,225,0.0,8.182733064841978,4.2700013
GaFeNi2,Ni,Fe,Ga,-23.89624154,-5.974060385,47.52342595140627,-0.20946592687499965,225,0.0,8.489201456782842,3.1076826
AlNi3,Ni,Ni,Al,-22.63473106,-5.658682765,45.2719661695828,-0.38718629749999955,225,0.0,7.4481401716448685,1.67e-05
Ni3Sn,Ni,Ni,Sn,-21.89566477,-5.4739161925,51.94204115883341,-0.13642071874999928,225,0.0,9.42417033735648,0.0017813
Ni3Sb,Ni,Ni,Sb,-21.8892405,-5.472310125,51.82920224621061,-0.15295730499999927,225,0.0,9.542405946256235,0.0025595
GaCuNi2,Ni,Cu,Ga,-19.71999932,-4.92999983,46.79359421395364,-0.2581058168750001,225,0.0,8.89488732724361,0.0005709
CuNi2Sn,Ni,Cu,Sn,-20.21209034,-5.053022585,53.33112882077918,-0.13575961374999945,225,0.0,9.329796432727012,0.0036588
CuNi2Sb,Ni,Cu,Sb,-20.15395511,-5.0384887775,53.39954544197287,-0.13936845999999914,225,0.0,9.412687232042671,3.39e-05
ZnCuNi2,Ni,Cu,Zn,-17.40013179,-4.3500329475,46.496347229473045,-0.1202270375000003,225,0.0,8.797684270072494,0.0022351
InNi2Au,Ni,Au,In,-17.90435498,-4.476088745,60.18837999801883,-0.07962908749999986,225,0.0,11.840422096659886,0.0113571
