pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
Li2InPd,Li,Pd,In,-13.72991042,-3.432477605,66.25228085868278,-0.4951247866666666,216,0.0,5.893018931254261,0.002899
Li2SnPd,Li,Pd,Sn,-15.35270732,-3.83817683,65.15905333915651,-0.5863519804166666,216,0.0,6.091076267182259,0.0025255
Li2SnPd,Li,Pd,Sn,-14.87415886,-3.718539715,62.52592040059856,-0.4667148654166664,225,0.0,6.347587701922094,0.0005365
Li2SbPd,Li,Pd,Sb,-15.77439411,-3.9435985275,65.19229286048201,-0.6619163316666663,216,0.0,6.165658391545599,0.0030409
Li2PdPb,Li,Pd,Pb,-14.45658896,-3.61414724,70.50483195074234,-0.43655358666666677,216,0.0,7.713370138511579,0.0001469
Li2PdPb,Li,Pd,Pb,-14.22687803,-3.5567195075,66.84200912493881,-0.3791258541666669,225,0.0,8.136049058207165,0.0026242
Li2AlAg,Li,Ag,Al,-11.38134082,-2.845335205,63.02401277300206,-0.24634081333333313,216,0.0,3.9187422622260746,0.0035625
Li2GaAg,Li,Ag,Ga,-10.87939754,-2.719849385,62.85619533701223,-0.300224945208333,216,0.0,5.058351481539549,0.0042273
Li2AgGe,Li,Ag,Ge,-12.25112853,-3.0627821325,61.48214142079717,-0.2444247345833337,225,0.0,5.250183448473679,4.5e-05
Li2InAg,Li,Ag,In,-10.57082976,-2.64270744,72.21318939554912,-0.29218607333333324,216,0.0,5.439875198746647,0.0003443
Li2AgSn,Li,Ag,Sn,-12.1544312,-3.0386078,71.72995629396209,-0.3736144020833332,216,0.0,5.566622045970214,0.0005447
Li2AgSn,Li,Ag,Sn,-11.9262763,-2.981569075,69.93823858181216,-0.31657567708333323,225,0.0,5.709230946606765,0.0004294
Li2AgSb,Li,Ag,Sb,-12.6120349,-3.153008725,73.88228428198484,-0.5061579808333332,216,0.14780000000000015,5.473006203656001,0.0003243
Li2AgPb,Li,Ag,Pb,-11.46189247,-2.8654731175,77.58352744569875,-0.2747109158333334,216,0.0,7.0406009632418,0.0004536
Li2AgPb,Li,Ag,Pb,-11.37615187,-2.8440379675,74.58542401432501,-0.2532757658333331,225,0.0,7.323611352815697,0.001789
Li2AgBi,Li,Ag,Bi,-11.94554422,-2.986386055,76.74390048915537,-0.3512770433333334,225,0.0,7.1561528449764396,9.07e-05
Li2AgBi,Li,Ag,Bi,-11.96276092,-2.99069023,80.62451148833905,-0.3555812183333331,216,0.0,6.811713605228962,0.0012826
Li2MgAg,Li,Ag,Mg,-8.98753886,-2.246884715,71.8553797082087,-0.18421426833333365,216,0.0,3.3752568905062765,0.0026563
Li2CdGe,Li,Cd,Ge,-10.39401135,-2.5985028375,67.13615187371812,-0.25756200041666677,225,0.0,4.920389520645951,0.0005763
Li2CdIn,Li,Cd,In,-8.65232753,-2.1630818825,78.79549022559016,-0.28997707666666694,216,0.0,5.08118210497489,0.0020697
Li2CdIn,Li,Cd,In,-8.59175031,-2.1479375775,75.16065527098226,-0.27483277166666675,225,0.0,5.326912510854166,0.0014729
Li2CdSn,Li,Cd,Sn,-10.04090512,-2.51022628,76.22616353339518,-0.32264944291666664,225,0.0,5.337236377585261,0.0011685
Li2CdSb,Li,Cd,Sb,-10.49922534,-2.624806335,79.23410304124207,-0.4553721516666669,225,0.0,5.198540543494652,0.0006711
Li2CdPb,Li,Cd,Pb,-9.54224739,-2.3855618475,81.16904088861214,-0.2722162066666667,225,0.0,6.822529241137403,0.0008158
Li2CdPb,Li,Cd,Pb,-9.41053837,-2.3526345925,85.90466339339049,-0.23928895166666653,216,0.0,6.446427156133197,0.0005502
Li2CdBi,Li,Cd,Bi,-10.04322108,-2.51080527,84.0530318916258,-0.3531128191666668,225,0.0,6.623610905667708,0.0005294
Li2MgCd,Li,Cd,Mg,-7.03850392,-1.75962598,75.48592805219364,-0.17437209416666666,225,0.0,3.312854048491222,0.001975
Li2MgCd,Li,Cd,Mg,-7.07119523,-1.7677988075,78.79813012436502,-0.18254492166666658,216,0.0,3.173601479592749,0.0002048
Li2GaIr,Li,Ir,Ga,-16.57466293,-4.1436657325,51.17914573805053,-0.22257268854166634,225,0.0,8.949215541267286,0.0002093
Li2GaIr,Li,Ir,Ga,-17.44098456,-4.36024614,54.02451971027515,-0.43915309604166675,216,0.0,8.47787650651957,0.0001484
Li2InIr,Li,Ir,In,-16.17755856,-4.04438964,57.94458207828517,-0.19239966916666695,225,0.0,9.196635759942353,0.0001286
Li2InIr,Li,Ir,In,-16.56657673,-4.1416441825,63.118219144062664,-0.28965421166666694,216,0.0,8.442811328687496,0.0010655
Li2SnIr,Li,Ir,Sn,-17.60082489,-4.4002062225,57.665885291672915,-0.23374422041666598,225,0.0,9.353156219751366,0.0013625
Li2SnIr,Li,Ir,Sn,-18.31960032,-4.57990008,62.145553197380956,-0.4134380779166662,216,0.0,8.678948145657666,0.0016625
Li2AlPt,Li,Pt,Al,-16.44761986,-4.111904965,55.45763827705782,-0.7033226466666664,216,0.0,7.06485378183684,0.0021514
Li2GaPt,Li,Pt,Ga,-15.57812546,-3.894531365,56.00121872000754,-0.6653189985416668,216,0.0,8.263641086909992,0.0020226
Li2GePt,Li,Pt,Ge,-16.26719902,-4.066799755,54.28372546903016,-0.4388544304166664,225,0.0,8.61432704458989,0.0012056
Li2InPt,Li,Pt,In,-14.91346088,-3.72836522,65.0230911197275,-0.5682559266666667,216,0.0,8.268693042445866,0.0006917
Li2SnPt,Li,Pt,Sn,-16.50696887,-4.1267422175,64.39917755840432,-0.6521608929166671,216,0.0,8.449157579594152,0.000121
Li2SnPt,Li,Pt,Sn,-15.91934425,-3.9798360625,60.96077242527824,-0.5052547379166668,225,0.0,8.925720222035688,0.0001522
Li2SbPt,Li,Pt,Sb,-16.72711648,-4.18177912,64.39978483447132,-0.6773404491666666,216,0.0,8.527721711368043,3.6e-06
Li2SiAu,Li,Au,Si,-14.34339731,-3.5858493275,56.644507786157774,-0.43883900416666677,216,0.0,7.004374676782982,0.0003291
Li2GaAu,Li,Au,Ga,-12.16647535,-3.0416188375,60.95866478871987,-0.5116630135416669,216,0.0,7.642884779654331,0.0007537
Li2GeAu,Li,Au,Ge,-13.65511605,-3.4137790125,61.151069394123084,-0.48509023041666666,216,0.0,7.698047612627203,0.0004759
Li2InAu,Li,Au,In,-11.75111652,-2.93777913,70.26867596166917,-0.4769263791666667,216,0.0,7.6959193141062645,0.0007249
Li2SnAu,Li,Au,Sn,-13.22578679,-3.3064466975,70.21314496631906,-0.5311219154166671,216,0.0,7.794051652575919,0.000862
Li2SbAu,Li,Au,Sb,-13.37199792,-3.34299948,72.41112045473598,-0.5858173516666669,216,0.0,7.6274130167018885,0.0003533
Li2PbAu,Li,Au,Pb,-12.3477941,-3.086948525,72.36135769493319,-0.3858549391666668,225,0.0,9.593324429971734,0.0005298
Li2PbAu,Li,Au,Pb,-12.44521905,-3.1113047625,76.59491914389966,-0.41021117666666695,216,0.0,9.063081315570702,0.0006822
Li2BiAu,Li,Au,Bi,-12.70765431,-3.1769135775,74.11232510076499,-0.43147318166666704,225,0.0,9.406565012864565,1.86e-05
Li2BiAu,Li,Au,Bi,-12.7387594,-3.18468985,79.06067720960505,-0.4392494541666667,216,0.0,8.817814733190836,0.0003134
Li2ZnAu,Li,Au,Zn,-9.93101956,-2.48275489,59.45587136503245,-0.39488716916666666,225,0.0,7.71557922264747,0.0083603
Li2MgAu,Li,Au,Mg,-10.44652863,-2.6116321575,67.92346910488943,-0.43863032666666646,216,0.0,5.748847830076601,0.0017415
Li3Ga,Li,Li,Ga,-9.61193521,-2.4029838025,63.75199942066663,-0.21426764687500022,225,0.0,2.3584385068811287,0.0012298
Li3Ge,Li,Li,Ge,-11.65926553,-2.9148163825,60.377008801011144,-0.3273672687500002,225,0.0,2.5704977087078986,0.0065518
Li3In,Li,Li,In,-9.44019195,-2.3600479875,73.5535425896382,-0.2404349050000003,225,0.0,3.062220684451719,0.0045784
Li3Sn,Li,Li,Sn,-11.27695618,-2.819239045,71.06909440480554,-0.3851539312500001,225,0.0,3.2602075419752454,0.0036665
Li3Sb,Li,Li,Sb,-12.40440292,-3.10110073,70.63172983860775,-0.6851582700000001,225,0.8066999999999998,3.3521002851555632,0.0002925
Li3Pb,Li,Li,Pb,-10.7479098,-2.68697745,74.88365010001658,-0.32712353250000037,225,0.0,5.0563921373705565,0.0009172
Li3Bi,Li,Li,Bi,-11.73482585,-2.9337064625,76.4402757952696,-0.5295057349999999,225,0.3798999999999997,4.99210029486996,0.0018188
Li3Zn,Li,Li,Zn,-7.40074581,-1.8501864525,66.28904845535371,-0.10355840000000005,225,0.0,2.1601095222763997,0.0041347
Li3Mg,Li,Li,Mg,-7.43666559,-1.8591663975,80.37111138610817,-0.027404234999999888,225,0.0,0.93238485452221,0.0116184
Li2MgSi,Li,Mg,Si,-93.81959202,-2.931862250625,513.0473853566838,-0.20325229979166703,225,0.0,1.7159908177251926,0.0001865
Li2MgSi,Li,Mg,Si,-11.78627794,-2.946569485,64.60441094807379,-0.2179595341666669,216,0.10009999999999986,1.7034142665537235,0.0023725
Li2MgGa,Li,Mg,Ga,-9.3950762,-2.34876905,69.61152509571343,-0.23721359854166657,216,0.0,2.5741250522873567,0.0048953
Li2MgGe,Li,Mg,Ge,-11.15918335,-2.7897958375,63.3576597666647,-0.2795074279166663,225,0.0,2.9046616275259893,0.0002846
Li2MgGe,Li,Mg,Ge,-11.36413833,-2.8410345825,67.0543938343794,-0.3307461729166663,216,0.10450000000000026,2.74452653451209,0.0003225
Li2MgIn,Li,Mg,In,-9.06911904,-2.26727976,75.8325191098385,-0.2248273816666666,225,0.0,3.3504198840754307,0.0037796
Li2MgSn,Li,Mg,Sn,-10.8236831,-2.705920775,78.32237536205677,-0.3489963654166668,216,0.04749999999999943,3.3264261550800143,0.0005395
Li2MgSn,Li,Mg,Sn,-10.75360338,-2.688400845,74.0586529221293,-0.3314764354166666,225,0.0,3.5179359555227703,0.0001088
Li2MgSb,Li,Mg,Sb,-10.83104157,-2.7077603925,83.78228942104359,-0.36897863666666675,216,0.0,3.170100076290824,0.0098584
Li2MgPb,Li,Mg,Pb,-10.18535351,-2.5463383775,82.3336692174358,-0.26364516416666683,216,0.0,4.949065234292792,1.38e-05
Li2MgPb,Li,Mg,Pb,-10.15445762,-2.538614405,79.68658867911718,-0.2559211916666668,225,0.0,5.113466477735641,0.0001918
Li2MgBi,Li,Mg,Bi,-10.41423112,-2.60355778,90.27839379846428,-0.2765177566666668,216,0.0,4.546282963409686,0.0269906
Li2MgZn,Li,Mg,Zn,-7.20313255,-1.8007831375,70.38182316329898,-0.13131578916666675,216,0.0,2.4441709153279954,0.0001784
Be2CoSi,Be,Co,Si,-20.8471104,-5.2117776,37.7415357836144,-0.19091321375000003,216,0.0,4.621648258956044,0.0032053
MgBe2B,Be,Mg,B,-13.01230699,-3.2530767475,40.59721375824732,0.686547640208333,216,0.0,2.17358883200249,0.0016921
